Timestamp,Used_Mem(MB),Avail_Mem(MB),GPU0_Util(%),GPU0_MemUsed(MB),GPU0_MemFree(MB)
2025-03-21 10:23:20,1826,13539,0,4,22587
2025-03-21 10:23:26,3986,11381,0,4,22587
2025-03-21 10:23:31,4682,10685,0,4,22587
2025-03-21 10:23:36,5367,9998,0,4,22587
2025-03-21 10:23:41,5165,10202,0,41,22549
2025-03-21 10:25:44,1630,13736,0,4,22587
2025-03-21 10:25:50,3114,12258,29,1917,20673
2025-03-21 10:25:55,1958,13408,80,17491,5099
2025-03-21 10:26:00,2108,13259,80,17493,5098
2025-03-21 10:26:05,2150,13217,80,17493,5098
2025-03-21 10:26:10,2059,13307,80,17493,5098
2025-03-21 10:26:16,1854,13514,60,17493,5098
2025-03-21 10:26:21,1955,13412,78,17493,5098
2025-03-21 10:26:26,1986,13379,80,17493,5098
2025-03-21 10:26:31,1885,13481,80,17493,5098
2025-03-21 10:26:37,1811,13555,80,17493,5098
2025-03-21 10:26:42,1869,13497,80,17493,5098
2025-03-21 10:26:47,1904,13462,100,17493,5098
2025-03-21 10:26:52,1869,13498,81,17493,5098
2025-03-21 10:26:58,1884,13482,80,17493,5098
2025-03-21 10:27:03,1812,13554,60,17493,5098
2025-03-21 10:27:08,1881,13485,80,17493,5098
2025-03-21 10:27:13,1913,13454,80,17493,5098
2025-03-21 10:27:19,1876,13490,100,17493,5098
2025-03-21 10:27:24,1917,13449,80,17493,5098
2025-03-21 10:27:29,1950,13416,100,17493,5098
2025-03-21 10:27:34,1892,13474,81,17493,5098
2025-03-21 10:27:39,1821,13546,80,17493,5098
2025-03-21 10:27:45,1804,13562,100,17493,5098
2025-03-21 10:27:50,1822,13544,82,17493,5098
2025-03-21 10:27:55,1805,13562,80,17493,5098
2025-03-21 10:28:00,1879,13488,100,17493,5098
2025-03-21 10:28:06,1893,13478,60,17493,5098
2025-03-21 10:28:11,1838,13528,87,17493,5098
2025-03-21 10:28:16,1842,13525,80,17493,5098
2025-03-21 10:28:21,1895,13474,100,17493,5098
2025-03-21 10:28:27,1874,13492,80,17493,5098
2025-03-21 10:28:32,1829,13537,99,17493,5098
2025-03-21 10:28:37,1835,13531,80,17493,5098
2025-03-21 10:28:42,1859,13507,80,17493,5098
2025-03-21 10:28:47,1848,13519,100,17493,5098
2025-03-21 10:28:53,1869,13498,80,17493,5098
2025-03-21 10:28:58,1880,13487,100,17493,5098
2025-03-21 10:29:03,1837,13530,80,17493,5098
2025-03-21 10:29:08,1842,13525,100,17493,5098
2025-03-21 10:29:14,1825,13541,92,17493,5098
2025-03-21 10:29:19,1885,13482,80,17493,5098
2025-03-21 10:29:24,1813,13553,80,17493,5098
2025-03-21 10:29:29,1902,13465,100,17493,5098
2025-03-21 10:29:35,1885,13483,80,17493,5098
2025-03-21 10:29:40,1907,13460,100,17493,5098
2025-03-21 10:29:45,1870,13496,80,17493,5098
2025-03-21 10:29:50,1801,13565,100,17493,5098
2025-03-21 10:29:55,1884,13483,80,17493,5098
2025-03-21 10:30:01,1864,13502,80,17493,5098
2025-03-21 10:30:06,1842,13526,100,17493,5098
2025-03-21 10:30:11,1837,13529,100,17493,5098
2025-03-21 10:30:16,1840,13526,80,17493,5098
2025-03-21 10:30:22,1870,13497,99,17493,5098
2025-03-21 10:30:27,1858,13508,80,17493,5098
2025-03-21 10:30:32,1866,13500,99,17493,5098
2025-03-21 10:30:37,1859,13507,80,17493,5098
2025-03-21 10:30:43,1849,13517,90,17493,5098
2025-03-21 10:30:48,1872,13495,80,17493,5098
2025-03-21 10:30:53,1906,13461,97,17493,5098
2025-03-21 10:30:58,1883,13484,80,17493,5098
2025-03-21 10:31:03,1880,13486,100,17493,5098
2025-03-21 10:31:09,1855,13510,80,17493,5098
2025-03-21 10:31:14,1881,13486,80,17493,5098
2025-03-21 10:31:19,1863,13504,83,17493,5098
2025-03-21 10:31:24,1863,13503,100,17493,5098
2025-03-21 10:31:30,1856,13511,80,17493,5098
2025-03-21 10:31:35,1849,13518,100,17493,5098
2025-03-21 10:31:40,1877,13489,80,17493,5098
2025-03-21 10:31:45,1847,13520,100,17493,5098
2025-03-21 10:31:51,1826,13540,80,17493,5098
2025-03-21 10:31:56,1917,13449,81,17493,5098
2025-03-21 10:32:01,1848,13518,100,17493,5098
2025-03-21 10:32:06,1865,13502,80,17493,5098
2025-03-21 10:32:11,1898,13468,80,17493,5098
2025-03-21 10:32:17,1879,13487,100,17493,5098
2025-03-21 10:32:22,1889,13477,80,17493,5098
2025-03-21 10:32:27,1864,13503,100,17493,5098
2025-03-21 10:32:32,1876,13490,80,17493,5098
2025-03-21 10:32:38,1856,13511,100,17493,5098
2025-03-21 10:32:43,1814,13552,79,17493,5098
2025-03-21 10:32:48,1832,13535,100,17493,5098
2025-03-21 10:32:53,1829,13537,80,17493,5098
2025-03-21 10:32:58,1839,13528,80,17493,5098
2025-03-21 10:33:04,1817,13549,100,17493,5098
2025-03-21 10:33:09,1841,13527,80,17493,5098
2025-03-21 10:33:14,1925,13441,100,17493,5098
2025-03-21 10:33:19,1888,13478,80,17493,5098
2025-03-21 10:33:25,1795,13572,90,17493,5098
2025-03-21 10:33:30,1907,13459,80,17493,5098
2025-03-21 10:33:35,1813,13553,100,17493,5098
2025-03-21 10:33:40,1811,13555,83,17493,5098
2025-03-21 10:33:46,1854,13513,100,17493,5098
2025-03-21 10:33:51,1838,13527,80,17493,5098
2025-03-21 10:33:56,1791,13575,100,17493,5098
2025-03-21 10:34:01,1873,13493,80,17493,5098
2025-03-21 10:34:06,1855,13512,95,17493,5098
2025-03-21 10:34:12,1823,13544,93,17493,5098
2025-03-21 10:34:17,1856,13511,80,17493,5098
2025-03-21 10:34:22,1877,13490,100,17493,5098
2025-03-21 10:34:27,1869,13497,80,17493,5098
2025-03-21 10:34:33,1880,13487,80,17493,5098
2025-03-21 10:34:38,1914,13453,80,17493,5098
2025-03-21 10:34:43,1909,13458,95,17493,5098
2025-03-21 10:34:48,1833,13534,88,17493,5098
2025-03-21 10:34:54,1833,13534,87,17493,5098
2025-03-21 10:34:59,1821,13546,80,17493,5098
2025-03-21 10:35:04,1868,13498,89,17493,5098
2025-03-21 10:35:09,1897,13469,86,17493,5098
2025-03-21 10:35:14,1883,13484,80,17493,5098
2025-03-21 10:35:20,1869,13498,100,17493,5098
2025-03-21 10:35:25,1920,13447,80,17493,5098
2025-03-21 10:35:30,1912,13454,100,17493,5098
2025-03-21 10:35:35,1881,13485,84,17493,5098
2025-03-21 10:35:41,1910,13456,80,17493,5098
2025-03-21 10:35:46,1861,13505,80,17493,5098
2025-03-21 10:35:51,1842,13524,100,17493,5098
2025-03-21 10:35:56,1872,13494,80,17493,5098
2025-03-21 10:36:02,1817,13551,80,17493,5098
2025-03-21 10:36:07,1906,13461,80,17493,5098
2025-03-21 10:36:12,1861,13505,80,17493,5098
2025-03-21 10:36:17,1923,13443,80,17493,5098
2025-03-21 10:36:23,1888,13479,100,17493,5098
2025-03-21 10:36:28,1914,13452,80,17493,5098
2025-03-21 10:36:33,1911,13455,100,17493,5098
2025-03-21 10:36:38,1885,13482,100,17493,5098
2025-03-21 10:36:44,1869,13498,80,17493,5098
2025-03-21 10:36:49,1804,13563,100,17493,5098
2025-03-21 10:36:54,1868,13499,80,17493,5098
2025-03-21 10:36:59,1922,13444,94,17493,5098
2025-03-21 10:37:04,1931,13437,80,17493,5098
2025-03-21 10:37:10,1864,13503,80,17493,5098
2025-03-21 10:37:15,1813,13553,100,17493,5098
2025-03-21 10:37:20,1840,13527,80,17493,5098
2025-03-21 10:37:25,1894,13473,100,17493,5098
2025-03-21 10:37:31,1863,13505,80,17493,5098
2025-03-21 10:37:36,1868,13499,91,17493,5098
2025-03-21 10:37:41,1826,13541,80,17493,5098
2025-03-21 10:37:46,1844,13523,98,17493,5098
2025-03-21 10:37:52,1814,13552,80,17493,5098
2025-03-21 10:37:57,1814,13554,100,17493,5098
2025-03-21 10:38:02,1863,13504,80,17493,5098
2025-03-21 10:38:07,1844,13522,93,17493,5098
2025-03-21 10:38:12,1877,13490,95,17493,5098
2025-03-21 10:38:18,1835,13532,100,17493,5098
2025-03-21 10:38:23,1855,13511,80,17493,5098
2025-03-21 10:38:28,1884,13483,80,17493,5098
2025-03-21 10:38:33,1941,13426,100,17493,5098
2025-03-21 10:38:39,1909,13457,80,17493,5098
2025-03-21 10:38:44,1830,13536,91,17493,5098
2025-03-21 10:38:49,1804,13562,82,17493,5098
2025-03-21 10:38:54,1840,13526,100,17493,5098
2025-03-21 10:39:00,1894,13472,80,17493,5098
2025-03-21 10:39:05,1890,13477,80,17493,5098
2025-03-21 10:39:10,1824,13542,100,17493,5098
2025-03-21 10:39:15,1863,13504,80,17493,5098
2025-03-21 10:39:20,1829,13538,100,17493,5098
2025-03-21 10:39:26,1855,13511,80,17493,5098
2025-03-21 10:39:31,1812,13554,80,17493,5098
2025-03-21 10:39:36,1870,13496,80,17493,5098
2025-03-21 10:39:41,1790,13576,100,17493,5098
2025-03-21 10:39:47,1819,13548,100,17493,5098
2025-03-21 10:39:52,1921,13446,80,17493,5098
2025-03-21 10:39:57,1971,13396,80,17493,5098
2025-03-21 10:40:02,1897,13469,100,17493,5098
2025-03-21 10:40:08,1860,13507,80,17493,5098
2025-03-21 10:40:13,1837,13529,80,17493,5098
2025-03-21 10:40:18,1881,13486,80,17493,5098
2025-03-21 10:40:23,1915,13452,100,17493,5098
2025-03-21 10:40:28,1851,13515,80,17493,5098
2025-03-21 10:40:34,1798,13569,100,17493,5098
2025-03-21 10:40:39,1869,13497,80,17493,5098
2025-03-21 10:40:44,1889,13478,100,17493,5098
2025-03-21 10:40:49,1836,13530,80,17493,5098
2025-03-21 10:40:55,1860,13506,80,17493,5098
2025-03-21 10:41:00,1780,13586,100,17493,5098
2025-03-21 10:41:05,1853,13514,80,17493,5098
2025-03-21 10:41:10,1889,13477,100,17493,5098
2025-03-21 10:41:16,1876,13491,94,17493,5098
2025-03-21 10:41:21,1832,13534,100,17493,5098
2025-03-21 10:41:26,1836,13530,80,17493,5098
2025-03-21 10:41:31,1890,13476,100,17493,5098
2025-03-21 10:41:37,1800,13566,80,17493,5098
2025-03-21 10:41:42,1910,13456,94,17493,5098
2025-03-21 10:41:47,1858,13509,80,17493,5098
2025-03-21 10:41:52,1880,13487,100,17493,5098
2025-03-21 10:41:57,1864,13503,80,17493,5098
2025-03-21 10:42:03,1875,13492,80,17493,5098
2025-03-21 10:42:08,1868,13499,92,17493,5098
2025-03-21 10:42:13,1817,13550,100,17493,5098
2025-03-21 10:42:18,1823,13543,80,17493,5098
2025-03-21 10:42:24,1812,13554,100,17493,5098
2025-03-21 10:42:29,1828,13538,80,17493,5098
2025-03-21 10:42:34,1873,13493,80,17493,5098
2025-03-21 10:42:39,1829,13537,100,17493,5098
2025-03-21 10:42:45,1851,13515,80,17493,5098
2025-03-21 10:42:50,1865,13502,91,17493,5098
2025-03-21 10:42:55,1834,13532,87,17493,5098
2025-03-21 10:43:00,1851,13515,80,17493,5098
2025-03-21 10:43:05,1755,13611,97,17493,5098
2025-03-21 10:43:11,1836,13530,80,17493,5098
2025-03-21 10:43:16,1848,13518,80,17493,5098
2025-03-21 10:43:21,1869,13497,100,17493,5098
2025-03-21 10:43:26,1892,13475,80,17493,5098
2025-03-21 10:43:32,1849,13517,100,17493,5098
2025-03-21 10:43:37,1812,13555,80,17493,5098
2025-03-21 10:43:42,1799,13567,100,17493,5098
2025-03-21 10:43:47,1868,13499,80,17493,5098
